    CK12B98J  2012 09 20.4235  2.156525  0.873954   72.9683  124.0274    2.6369  20130309  12.5  4.0  C/2012 BJ98 (Lemmon)                                     MPC 82318
    CK12C010  2013 02  4.5642  4.837970  0.996492  279.8947  300.6373   96.2780  20130309   7.5  4.0  C/2012 C1 (McNaught)                                     MPC 82719
    CK12C17H  2012 09 28.2170  1.296157  0.999857  137.9878  125.9821   27.7448  20130309  11.0  4.0  C/2012 CH17 (MOSS)                                       MPC 81470
    CK12E010  2011 07  3.7818  7.502552  0.997393   48.8832  286.3358  122.5451  20130309   6.5  4.0  C/2012 E1 (Hill)                                         MPC 80258
    CK12E020  2012 03 15.0314  0.006952  1.000000   83.3435    7.7078  144.2218            10.0  4.0  C/2012 E2 (SWAN)                                         MPC 79023
    PK12F020  2013 04  9.9939  2.897094  0.542251   33.1879  227.1346   14.7245  20130309  12.0  4.0  P/2012 F2 (PANSTARRS)                                    MPC 82719
    CK12F030  2015 04  7.1929  3.455237  1.000265  104.0753  164.6322   11.3603  20130309   6.5  4.0  C/2012 F3 (PANSTARRS)                                    MPC 82719
    PK12F050  2015 06 13.8270  2.879240  0.041762  177.7110  216.8627    9.7382  20130309  12.0  4.0  P/2012 F5 (Gibbs)                                        MPC 80045
    CK12F060  2013 03 24.5138  0.731244  0.998533  304.9875  332.7146   82.6078  20130309  10.0  4.0  C/2012 F6 (Lemmon)                                       MPEC 2013-E06
    CK12J010  2012 12  7.2676  3.158740  1.001847  147.2787  235.2182   34.1842  20130309   8.0  4.0  C/2012 J1 (Catalina)                                     MPEC 2013-E06
    CK12K010  2014 08 27.6352  1.055042  1.000312  203.0627  317.7101  142.4248  20130309   4.5  4.0  C/2012 K1 (PANSTARRS)                                    MPEC 2013-E06
    CK12K050  2012 11 28.6848  1.141747  0.998515  139.2853  279.0392   92.8495  20130309  12.0  4.0  C/2012 K5 (LINEAR)                                       MPEC 2013-E06
    CK12K060  2013 05 21.5128  3.353030  0.999513  338.8365  206.8974  135.2210  20130309   8.5  4.0  C/2012 K6 (McNaught)                                     MPC 82719
    CK12K080  2014 08 19.1009  6.464755  1.003155   75.8221  312.7982  106.1075  20130309   6.0  4.0  C/2012 K8 (Lemmon)                                       MPC 82319
    CK12L010  2012 12 25.4128  2.262384  0.997345  140.2881  271.7655   87.2217  20130309  10.5  4.0  C/2012 L1 (LINEAR)                                       MPEC 2013-E06
    CK12L020  2013 05  9.3263  1.508644  0.997420  205.7788  270.3010   70.9820  20130309  10.0  4.0  C/2012 L2 (LINEAR)                                       MPEC 2013-E06
    CK12L26P  2015 08 17.4155  6.533779  0.998536  145.1858  154.0336   25.3759  20130309   6.5  4.0  C/2012 LP26 (Palomar)                                    MPEC 2013-E06
    CK12Q010  2012 02  9.3598  9.482299  0.637032  139.2423  184.4362   45.1844  20130309   4.0  4.0  C/2012 Q1 (Kowalski)                                     MPC 82319
    CK12S010  2013 11 28.7661  0.012486  1.000005  345.5236  295.7143   61.9939  20130309   7.0  3.2  C/2012 S1 (ISON)                                         MPEC 2013-E06
