    CK06Q010  2008 07  3.6397  2.762962  0.998842  344.3392  199.5645   59.0547  20100723   5.0  4.0  C/2006 Q1 (McNaught)                                     MPC 61994
    CK06S030  2012 04 16.5806  5.132168  1.001793  140.1368   38.3720  166.0324  20100723   2.0  4.0  C/2006 S3 (LONEOS)                                       MPC 68901
    PK06T010  2012 01 12.3587  1.006391  0.667950  179.6540  279.7736   18.2714  20100723  10.5  4.0  P/2006 T1 (Levy)                                         MPC 65937
    CK06W030  2009 07  6.5882  3.126337  0.999957  133.5174  113.5825  127.0496  20100723   5.0  4.0  C/2006 W3 (Christensen)                                  MPC 61436
    CK07B020  2008 08 20.9910  2.980123  0.996051  206.1924   14.8055   27.5014  20100723   6.0  4.0  C/2007 B2 (Skiff)                                        MPC 66700
    CK07D010  2007 06 14.5752  8.786236  0.994023  339.9488  171.0927   41.5474  20100723   3.5  4.0  C/2007 D1 (LINEAR)                                       MPC 69416
    CK07G010  2008 11 16.3271  2.647694  1.001595  224.0030   79.0102   88.3184  20100723   5.5  4.0  C/2007 G1 (LINEAR)                                       MPC 66464
    PK07H010  2007 08 18.2421  2.282902  0.378296  202.7707  144.3642   11.8738  20100723  10.0  4.0  P/2007 H1 (McNaught)                                     MPC 62270
    CK07M010  2008 08 13.2995  7.476805  0.996637   52.7350  326.8109  139.7211  20100723   6.0  4.0  C/2007 M1 (McNaught)                                     MPC 71278
    CK07M020  2008 12  8.4421  3.541511  0.998135  220.6681  357.2924   80.9530  20100723   8.0  4.0  C/2007 M2 (Catalina)                                     MPC 68392
    CK07N030  2009 01 10.6436  1.211165  0.999896  136.8487  338.5594  178.3738  20100723   6.5  4.0  C/2007 N3 (Lulin)                                        MPC 65054
    CK07Q030  2009 10  7.2286  2.251400  1.000014    2.0752  149.4116   65.6495  20100723   4.5  4.0  C/2007 Q3 (Siding Spring)                                MPC 61437
    PK07R010  2007 08 25.6582  4.356334  0.278537  175.4086  181.6341    7.8743  20100723   8.0  4.0  P/2007 R1 (Larson)                                       MPC 65645
    CK07S020  2008 09 13.1359  5.555290  0.556166  210.3543  296.1988   16.8551  20100723   6.5  4.0  C/2007 S2 (Lemmon)                                       MPC 64767
    CK07V53O  2010 04 26.5216  4.842678  0.999777   75.0330   59.7343   86.9899  20100723   7.0  4.0  C/2007 VO53 (Spacewatch)                                 MPC 70361
    CK08A010  2008 09 29.0580  1.073909  1.000341  348.4830  277.9153   82.5324  20100723   6.5  4.0  C/2008 A1 (McNaught)                                     MPC 65935
    PK08C94L  2006 06 20.7659  5.421933  0.119856   81.1541   33.4535    8.3547  20100723   8.0  4.0  P/2008 CL94 (Lemmon)                                     MPC 65645
    CK08E010  2008 08 11.9305  4.828071  0.549107  269.9910  189.0031   35.0480  20100723   7.0  4.0  C/2008 E1 (Catalina)                                     MPC 64113
    CK08E030  2008 08  2.9728  5.532774  0.998964  218.1763  105.6932  105.0770  20100723   6.0  4.0  C/2008 E3 (Garradd)                                      MPC 68392
    CK08F75K  2010 09 29.2039  4.511065  1.002740   80.4128  218.2661   61.1747  20100723   5.0  4.0  C/2008 FK75 (Lemmon-Siding Spring)                       MPC 64767
    PK08J020  2008 03 20.4221  2.391953  0.311141  131.3475   98.0419   10.2529  20100723   9.0  4.0  P/2008 J2 (Beshore)                                      MPC 63376
    CK08N010  2009 09 25.9387  2.783512  0.997676  100.8245  357.4709  115.5228  20100723   9.0  4.0  C/2008 N1 (Holmes)                                       MPC 68902
    PK08O020  2009 04 21.7832  3.804365  0.152472   27.5103  325.8565    9.5183  20100723   9.0  4.0  P/2008 O2 (McNaught)                                     MPC 66921
    CK08P010  2009 07 22.9979  3.896670  1.001041   11.8815  357.6790   64.3140  20100723   7.0  4.0  C/2008 P1 (Garradd)                                      MPC 64114
    CK08S030  2011 06  5.6139  8.019139  1.000599   39.8413   54.9301  162.6991  20100723   4.0  4.0  C/2008 S3 (Boattini)                                     MPC 66921
    CK08T020  2009 06 13.1886  1.202779  0.999980  215.8809  309.6818   56.2985  20100723   6.0  4.0  C/2008 T2 (Cardinal)                                     MPC 66921
    PK08Y030  2009 01 11.3983  4.433263  0.447297  238.2315  262.9027   38.8153  20100723   8.5  4.0  P/2008 Y3 (McNaught)                                     MPC 70810
    CK09F020  2009 11 14.1170  5.875018  0.983055  336.3455  214.0545   59.3685  20100723   6.0  4.0  C/2009 F2 (McNaught)                                     MPC 66204
    CK09F040  2011 12 31.6579  5.455161  1.002748  260.3651   53.5710   79.3344  20100723   3.0  4.0  C/2009 F4 (McNaught)                                     MPC 68392
    CK09F060  2009 05  7.4228  1.273898  0.997451  129.7613  278.6655   85.7555  20100723   6.0  4.0  C/2009 F6 (Yi-SWAN)                                      MPC 67147
    CK09K020  2010 02  7.5909  3.246200  0.998181  147.7184  123.8074   66.8141  20100723  10.0  4.0  C/2009 K2 (Catalina)                                     MPC 70810
    CK09K030  2011 01  9.266   3.90156   1.00000   251.413     0.032   146.680              8.5  4.0  C/2009 K3 (Beshore)                                      MPC 66205
    CK09K050  2010 04 30.0240  1.422402  1.000851   66.1740  257.8563  103.8794  20100723   7.5  4.0  C/2009 K5 (McNaught)                                     MPC 69416
    CK09O020  2010 03 24.4161  0.695438  0.997430  133.4027  310.2305  107.9565  20100723  11.0  4.0  C/2009 O2 (Catalina)                                     MPC 69905
    CK09O040  2010 01  1.3005  2.563910  1.000744  223.7399  172.9392   95.8297  20100723  10.0  4.0  C/2009 O4 (Hill)                                         MPC 67147
    CK09P010  2011 12 23.9387  1.550888  1.000390   90.7582  325.9773  106.2289  20100723   4.0  4.0  C/2009 P1 (Garradd)                                      MPC 67973
    CK09P020  2010 02 11.7649  6.544305  1.001140   76.2372   60.4671  163.4582  20100723   6.0  4.0  C/2009 P2 (Boattini)                                     MPC 67147
    PK09Q010  2009 07  3.6206  2.788566  0.495634  157.8052  174.0894   14.4390  20100723  11.5  4.0  P/2009 Q1 (Hill)                                         MPC 67147
    PK09Q050  2009 09  8.6179  2.918799  0.608719  209.2903  160.1403   40.9052  20100723  10.0  4.0  P/2009 Q5 (McNaught)                                     MPC 68902
    CK09R010  2010 07  2.6792  0.405025  1.000342  130.7013  322.6220   77.0319  20100723   8.0  4.0  C/2009 R1 (McNaught)                                     MPC 69905
    CK09S030  2011 12 10.4649  6.475234  1.001837  129.7035  225.1231   60.3858  20100723   6.5  4.0  C/2009 S3 (Lemmon)                                       MPC 71278
    PK09SS0K  2009 05 24.1284  4.199948  0.120257  328.2661   36.4078   16.8120  20100723  11.0  4.0  P/2009 SK280 (Spacewatch-Hill)                           MPC 67684
    CK09T010  2009 10  8.5578  6.220936  0.998605  282.5568   54.4053   89.8934  20100723   6.5  4.0  C/2009 T1 (McNaught)                                     MPC 67973
    CK09T030  2010 01 12.0487  2.280975  0.999419   32.4619   60.1137  148.7447  20100723  12.5  4.0  C/2009 T3 (LINEAR)                                       MPC 69416
    CK09U030  2010 03 20.2541  1.414413  0.991644   77.7023   49.3208   51.2614  20100723  13.0  4.0  C/2009 U3 (Hill)                                         MPC 70812
    CK09U050  2010 06 22.7222  6.093584  0.999728   23.8385  121.1717   25.4708  20100723   7.0  4.0  C/2009 U5 (Grauer)                                       MPC 67973
    CK09U89G  2010 12 16.2239  3.931265  1.007894   60.6438  321.0066  130.0995  20100723   9.0  4.0  C/2009 UG89 (Lemmon)                                     MPC 72128
    CK09W020  2010 05  1.8429  6.907172  0.999112  121.3451  199.5861  164.4896  20100723   7.0  4.0  C/2009 W2 (Boattini)                                     MPC 68392
    CK09Y010  2011 01 28.8734  2.520640  0.993257  127.3806  160.2768  107.3164  20100723   9.0  4.0  C/2009 Y1 (Catalina)                                     MPC 70361
    PK09Y020  2010 03 30.7323  2.339015  0.640188  171.9735  262.1302   29.9266  20100723  13.0  4.0  P/2009 Y2 (Kowalski)                                     MPC 68902
    PK10A030  2010 04  3.6835  1.621810  0.732266   41.2847   64.8270   15.0279  20100723  14.0  4.0  P/2010 A3 (Hill)                                         MPC 68902
    CK10A040  2010 10  8.7751  2.737801  0.990280  271.6941  346.6837   96.7275  20100723  12.5  4.0  C/2010 A4 (Siding Spring)                                MPC 70361
    PK10A050  2010 04 19.3194  1.712073  0.664263  306.7096  277.9409    5.7845  20100723  13.0  4.0  P/2010 A5 (LINEAR)                                       MPC 70361
    CK10B010  2011 02  7.0494  2.941583  0.999024  211.5160  277.2135  101.9808  20100723   7.5  4.0  C/2010 B1 (Cardinal)                                     MPC 72130
    PK10C010  2009 11 30.7259  5.234858  0.259195    3.5853  142.0323    9.1419  20100723   9.5  4.0  P/2010 C1 (Scotti)                                       MPC 69905
    CK10D030  2010 09  3.9703  4.247391  0.999652  304.6506  255.2386   76.3910  20100723   9.0  4.0  C/2010 D3 (WISE)                                         MPC 70816
    CK10D040  2009 03 31.0675  7.148406  0.889622   44.4996  266.7893  105.6613  20100723   6.5  4.0  C/2010 D4 (WISE)                                         MPC 69905
    CK10D56G  2010 05 15.5614  1.591438  0.976489  318.2883    3.8695  160.4175  20100723  16.0  4.0  C/2010 DG56 (WISE)                                       MPC 72131
    CK10E050  2009 11 20.9921  3.888127  0.843008  147.7834   17.0807   18.9175  20100723  10.5  4.0  C/2010 E5 (Scotti)                                       MPC 70361
    CK10F010  2009 11 10.5419  3.587307  0.947605  127.5046  344.3907   64.9341  20100723   9.5  4.0  C/2010 F1 (Boattini)                                     MPC 72132
    CK10F030  2010 08  4.5864  5.446935  0.913344   31.2604  157.4107    4.6479  20100723   8.5  4.0  C/2010 F3 (Scotti)                                       MPC 70816
    CK10F040  2010 04  6.109   0.61383   1.00000   120.718   237.294    89.143             13.5  4.0  C/2010 F4 (Machholz)                                     MPC 69906
    CK10F87B  2010 11  7.3683  2.842804  0.990724  265.0165   89.8957  107.6259  20100723  10.0  4.0  C/2010 FB87 (WISE-Garradd)                               MPC 70816
    CK10G010  2010 04  2.5396  1.204533  0.997403  168.6316  287.4481   78.3865  20100723  12.5  4.0  C/2010 G1 (Boattini)                                     MPC 70816
