974693|NY|Lamont Observatory|locale|Rockland|36|087|410015N|0735430W|41.00417|-73.90833||||||||Nyack
960196|NY|Perkins Memorial Observatory|locale|Orange|36|071|411840N|0740027W|41.31111|-74.0075||||||||Popolopen Lake
1806888|OH|Abbe Meteorological Observatory|locale|Hamilton|39|061|390921N|0843054W|39.15583|-84.515||||||||Cincinnati West
1084688|OH|Burrell Observatory|locale|Cuyahoga|39|035|412232N|0815105W|41.37556|-81.85139||||||||Lakewood
1038856|OH|Case Observatory|locale|Cuyahoga|39|035|413210N|0813407W|41.53611|-81.56861||||||||East Cleveland
1044378|OH|Perkins Observatory|locale|Delaware|39|041|401503N|0830321W|40.25083|-83.05583||||||||Delaware
1047361|OH|University Of Cincinnati Observatory|locale|Hamilton|39|061|390819N|0842522W|39.13861|-84.42278||||||||Cincinnati East
1084853|OH|Weaver Observatory|locale|Clark|39|023|395607N|0834859W|39.93528|-83.81639||||||||Springfield
1140608|OR|Dam Observatory|locale|Jefferson|41|031|443603N|1211627W|44.60083|-121.27417||||||||Round Butte Dam
1140783|OR|Dee Wright Observatory|locale|Deschutes|41|017|441538N|1214802W|44.26056|-121.80056|||||5324|||Mount Washington
1147719|OR|Pine Mountain Observatory|locale|Deschutes|41|017|434731N|1205627W|43.79194|-120.94083||||||||Pine Mountain
1206534|PA|Airglow Observatory|locale|Somerset|42|111|400752N|0790952W|40.13111|-79.16444|||||2720|||Ligonier
1168171|PA|Allegheny Observatory|locale|Allegheny|42|003|402857N|0800113W|40.4825|-80.02028||||||||Pittsburgh West
1903505|RI|Fox Point Observatory|locale|Providence|44|007|414856N|0712403W|41.81556|-71.40083||||||||Providence
1902170|RI|Frosty Drew Observatory|locale|Washington|44|009|412251N|0713856W|41.38083|-71.64889||||||||Carolina
1903747|RI|Ladd Observatory|locale|Providence|44|007|415022N|0712357W|41.83944|-71.39917||||||||Providence
1249225|SC|Melton Observatory|locale|Richland|45|079|335951N|0810136W|33.9975|-81.02667||||||||Southwest Columbia
1249264|SC|Old Observatory|locale|Richland|45|079|335958N|0810141W|33.99944|-81.02806||||||||Southwest Columbia
1320890|TN|Cumberland Plateau Observatory|locale|Van Buren|47|175|353556N|0853405W|35.59889|-85.56806||||||||Curtistown
1324809|TN|Vanderbilt University Observatory|locale|Davidson|47|037|360308N|0864818W|36.05222|-86.805||||||||Oak Hill
1362428|TX|McDonald Observatory|locale|Jeff Davis|48|243|304017N|1040116W|30.67139|-104.02111||||||||Mount Locke
1365945|TX|Radio Astronomical Observatory|locale|Wharton|48|481|290009N|0961524W|29.0025|-96.25667||||||||El Campo SE
1491195|VA|McCormick Observatory|locale|Albemarle|51|003|380157N|0783120W|38.0325|-78.52222||||||||Charlottesville West
1690350|VA|National Radio Astronomy Observatory|locale|Albemarle|51|003|380212N|0783106W|38.03667|-78.51833||||||||Charlottesville West
1614066|VI|Langs Observatory|locale|St. Croix|78|010|174437N|0644111W|17.74361|-64.68639||||||||Christiansted
1514459|WA|Goldendale Astronomical Observatory|locale|Klickitat|53|039|455021N|1204850W|45.83917|-120.81389|||||2100|||Goldendale
