    PK05L010  2005 12 13.8874  3.144826  0.209169  149.7113  138.3205    7.7353  20071027   9.5  4.0  P/2005 L1 (McNaught)
    CK05L030  2008 01 15.7890  5.593348  1.000719   47.0708  288.7334  139.4448  20071027   4.0  4.0  C/2005 L3 (McNaught)
    CK05Q010  2005 08 24.7778  6.407315  1.002683   44.6491   87.7476  105.1957  20071027   6.0  4.0  C/2005 Q1 (LINEAR)
    PK05R020  2005 02 10.5077  2.126141  0.379394    3.0981  312.6985   10.2408  20071027  10.5  4.0  P/2005 R2 (Van Ness)
    CK05R040  2006 03  7.5052  5.187252  0.996838    6.8321   63.7718  164.0137  20071027   7.0  4.0  C/2005 R4 (LINEAR)
    PK05R25V  2006 11  6.7117  3.607468  0.166172  191.6025  246.9266    9.8832  20071027   9.5  4.0  P/2005 RV25 (LONEOS-Christensen)
    PK05S020  2006 06 27.5241  6.397758  0.197274  229.7378  161.2471    3.1404  20071027   7.5  4.0  P/2005 S2 (Skiff)
    CK05S040  2007 07 18.8517  5.850160  0.998953   31.4744  318.2909  107.9596  20071027   5.0  4.0  C/2005 S4 (McNaught)
    PK05SL6B  2007 02 11.2148  3.818238  0.463223   83.5593    1.6880   24.0993  20071027  12.0  2.0  P/2005 SB216 (LONEOS)
    PK05T030  2006 01 13.3583  6.202302  0.173821    8.2296   27.9947    6.2616             9.0  4.0  P/2005 T3 (Read)
    CK05Y00W  2006 12  7.9163  1.993363  0.989996  234.6826  302.1822   40.5641  20071027  10.0  4.0  C/2005 YW (LINEAR)
    PK05Y020  2004 12 28.7179  3.356560  0.467220  194.7210   94.5941   19.1789  20071027   9.0  4.0  P/2005 Y2 (McNaught)
    CK06A010  2006 02 22.1715  0.556048  0.999826  351.2186  211.3706   92.7094  20071027   9.0  3.2  C/2006 A1 (Pojmanski)
    CK06E010  2007 01  7.0194  6.040641  1.001939  232.8285   95.0330   83.1936  20071027   6.0  4.0  C/2006 E1 (McNaught)
