    CK08J050  2008 03 31.2341  1.953093  0.971402  313.1236  286.7687   93.3694  20190514  12.0  4.0  C/2008 J5 (Garradd)                                      MPC 63376
    CK08J060  2008 04 11.9386  1.984300  1.000963   10.5465  298.0993   45.2105  20190514  10.5  4.0  C/2008 J6 (Hill)                                         MPC 82314
    PK08L020  2023 05 12.4269  2.336705  0.612326  141.2046  218.0053   25.8408  20190514  12.5  4.0  P/2008 L2 (Hill)                                         MPC 75709
    CK08N010  2009 09 20.7430  2.807423  0.996782  100.9529  357.5078  115.4801  20190514   9.0  4.0  C/2008 N1 (Holmes)                                       MPC112389
    PK08O030  2008 05 21.0000  2.518809  0.693910  341.0881   47.6319   32.1963  20190514  13.0  4.0  P/2008 O3 (Boattini)                                     MPC 64114
    CK08P010  2009 07 20.1782  3.878753  0.998391   11.6559  357.7082   64.3585  20190514   7.0  4.0  C/2008 P1 (Garradd)                                      MPC103843
    CK08Q010  2008 12 24.3657  2.982178  0.994676  104.5485    9.2643  118.5703  20190514  10.0  4.0  C/2008 Q1 (Maticic)                                      MPC 65935
    CK08Q030  2009 06 20.2244  1.819031  0.999001  340.8273  219.5414  140.7870  20190514  10.0  4.0  C/2008 Q3 (Garradd)                                      MPC 80896
    PK08Q20P  2022 01  1.1418  1.786276  0.495234   75.7428  322.3946    7.5101  20190514  15.5  4.0  P/2008 QP20 (LINEAR-Hill)                                MPC 75709
    CK08R030  2008 11 20.1619  1.903261  0.895701   83.8995  270.8507   43.3243  20190514  13.0  4.0  C/2008 R3 (LINEAR)                                       MPC 64115
    CK08S030  2011 06  4.6802  7.998746  1.000126   39.9798   55.0827  162.6915  20190514   4.0  4.0  C/2008 S3 (Boattini)                                     MPC 95207
    CK08T020  2009 06 13.6811  1.209528  1.000170  216.0174  309.5833   55.9986  20190514   6.0  4.0  C/2008 T2 (Cardinal)                                     MPC 66921
    PK08W96Z  2021 08 23.5582  1.820150  0.476519  342.0578   56.8208    7.1994  20190514  13.5  4.0  P/2008 WZ96 (LINEAR)                                     MPC 66204
    CK08X030  2008 10  6.9098  1.924998  0.955838  140.9434  337.8097   66.3964  20190514  13.0  4.0  C/2008 X3 (LINEAR)                                       MPC 65057
    PK08Y010  2019 09  6.1822  1.267837  0.736002  162.8079  259.3402    8.9171  20190825  15.0  4.0  P/2008 Y1 (Boattini)                                     MPEC 2019-R83
    PK08Y120  2019 10  9.7253  0.067414  0.978094  144.4554  309.7250   23.6771  20190514  21.0  8.0  P/2008 Y12 (SOHO)                                        MPC 88693
    PK08Y030  2009 01  4.9702  4.453001  0.446288  238.4062  262.7785   38.7586  20190514   8.5  4.0  P/2008 Y3 (McNaught)                                     MPC 75710
    PK09B010  2026 07  7.4853  2.461097  0.634381  129.0046  297.0896   22.2201  20190514  13.0  4.0  P/2009 B1 (Boattini)                                     MPC 75710
    CK09B020  2009 03  7.6777  2.345729  0.942680  192.5781   18.7562  156.9066  20190514  12.5  4.0  C/2009 B2 (LINEAR)                                       MPC 82315
    CK09E010  2009 04  7.2646  0.591084  0.985216   48.6072  105.6216  127.0561  20190514  11.5  4.0  C/2009 E1 (Itagaki)                                      MPC 72850
    CK09F010  2009 06 28.9041  1.833321  0.981084  219.6848  357.9348  171.3763  20190514  15.0  4.0  C/2009 F1 (Larson)                                       MPC 82315
    CK09F020  2009 11 12.9758  5.906868  0.983926  336.5931  213.9467   59.3344  20190514   6.0  4.0  C/2009 F2 (McNaught)                                     MPC112389
    CK09F040  2012 01  3.1691  5.446385  1.000482  260.3701   53.5571   79.4486  20190514   3.0  4.0  C/2009 F4 (McNaught)                                     MPC 95208
    CK09F050  2008 10 31.6253  2.263854  0.971245  297.4586  218.8362   84.9463  20190514  10.0  4.0  C/2009 F5 (McNaught)                                     MPC 66204
    CK09F060  2009 05  6.0484  1.279878  0.997333  129.8363  279.1112   85.6326  20190514   6.0  4.0  C/2009 F6 (Yi-SWAN)                                      MPC 72850
    CK09G010  2009 04 13.8496  1.127208  0.997169  175.2997  120.4835  108.6589  20190514   9.0  4.0  C/2009 G1 (STEREO)                                       MPC 66466
    CK09K020  2010 02  8.8520  3.229055  0.996502  147.5993  123.5620   66.8648  20190514  10.0  4.0  C/2009 K2 (Catalina)                                     MPC 82315
    CK09K040  2009 06 17.6555  1.566062  0.963004  127.7868   29.8878   34.8268  20190514  13.0  4.0  C/2009 K4 (Gibbs)                                        MPC 66703
    CK09K050  2010 04 30.8535  1.421537  0.999465   66.1824  258.1129  104.2870  20190514   7.5  4.0  C/2009 K5 (McNaught)                                     MPC 82315
    CK09O020  2010 03 24.4446  0.703735  0.997293  133.7051  310.6791  107.7405  20190514  11.0  4.0  C/2009 O2 (Catalina)                                     MPC 69905
    PK09O030  2009 05 13.9406  2.438270  0.686429  154.3097  183.7715   16.2323  20190514  12.5  4.0  P/2009 O3 (Hill)                                         MPC 75710
    CK09O040  2009 12 27.3156  2.567465  0.999699  223.6997  173.0035   95.8565  20190514  10.0  4.0  C/2009 O4 (Hill)                                         MPC 67147
    CK09P010  2011 12 21.5440  1.562177  0.999872   90.9174  326.2614  106.3416  20190514   4.0  4.0  C/2009 P1 (Garradd)                                      MPC103843
    CK09P020  2010 02  6.4013  6.533819  0.998969   76.1177   60.4929  163.4117  20190514   6.0  4.0  C/2009 P2 (Boattini)                                     MPC 76024
    PK09Q010  2022 05 24.7404  2.792017  0.494148  157.1155  173.9483   14.5009  20190514  11.5  4.0  P/2009 Q1 (Hill)                                         MPC 75710
    PK09Q040  2020 12 27.2095  1.308931  0.581876  320.1351  127.4666   11.0050  20190514  15.5  4.0  P/2009 Q4 (Boattini)                                     MPC112389
    PK09Q050  2009 08 29.1549  2.921870  0.607474  209.0488  160.2175   40.9235  20190514  10.0  4.0  P/2009 Q5 (McNaught)                                     MPC 68902
    CK09R010  2010 07  1.2072  0.414769  1.000370  130.8157  323.0589   76.7840  20190514   8.0  4.0  C/2009 R1 (McNaught)                                     MPC 82315
    CK09S030  2011 12 11.8800  6.452306  0.999054  129.6264  225.1612   60.4465  20190514   6.5  4.0  C/2009 S3 (Lemmon)                                       MPC 87062
    PK09SS0K  2019 10 23.7571  4.208775  0.119608  327.9431   36.4160   16.7996  20190514  11.0  4.0  P/2009 SK280 (Spacewatch-Hill)                           MPC 78184
    CK09T010  2009 10 10.5806  6.210743  0.994700  282.5361   54.4643   90.0373  20190514   6.5  4.0  C/2009 T1 (McNaught)                                     MPC 76567
    PK09T020  2009 12 30.9711  1.818603  0.764649  216.5336  215.7261   27.5030  20190514  14.0  4.0  P/2009 T2 (La Sagra)                                     MPC112389
